time,grf
4.7797,630.6991
4.7876,627.5847
4.7954,620.9797
4.8032,616.1632
4.811,610.9704
4.8189,608.3633
4.8267,604.9772
4.8345,604.117
4.8423,605.9836
4.8501,607.4135
4.858,609.8253
4.8658,611.7634
4.8736,615.8867
4.8814,616.9436
4.8893,619.0708
4.8971,619.4332
4.9049,621.3145
4.9127,620.0434
4.9206,619.2093
4.9284,619.8476
4.9362,618.4384
4.944,617.7001
4.9518,616.7917
4.9597,616.8557
4.9675,614.8833
4.9753,615.016
4.9831,613.8885
4.991,615.2334
4.9988,615.9065
5.0066,619.1672
5.0144,620.5824
5.0223,626.5027
5.0301,629.1316
5.0379,631.6898
5.0457,633.2025
5.0535,632.6163
5.0614,632.3868
5.0692,629.214
5.077,628.0268
5.0848,624.0251
5.0927,621.1173
5.1005,617.0847
5.1083,613.9781
5.1161,613.6421
5.1239,613.0655
5.1318,613.3653
5.1396,612.3249
5.1474,613.754
5.1552,614.4652
5.1631,614.0623
5.1709,614.1167
5.1787,614.8189
5.1865,616.6853
5.1944,617.7609
5.2022,618.7016
5.21,619.5776
5.2178,620.5755
5.2256,620.8753
5.2335,620.4806
5.2413,620.2258
5.2491,621.3384
5.2569,621.7732
5.2648,622.0035
5.2726,621.3382
5.2804,620.1711
5.2882,621.7245
5.296,619.9473
5.3039,620.2834
5.3117,618.1126
5.3195,620.2231
5.3273,620.2014
5.3352,619.4029
5.343,621.2906
5.3508,620.9214
5.3586,620.3083
5.3665,622.2362
5.3743,621.8035
5.3821,621.0848
5.3899,622.1684
5.3977,620.6812
5.4056,620.2631
5.4134,620.444
5.4212,619.4065
5.429,619.2479
5.4369,618.579
5.4447,619.3325
5.4525,620.257
5.4603,620.9608
5.4682,620.2403
5.476,620.708
5.4838,623.0513
5.4916,622.5553
5.4994,623.2937
5.5073,622.9576
5.5151,621.8423
5.5229,622.0563
5.5307,620.3714
5.5386,621.4769
5.5464,621.7895
5.5542,620.7298
5.562,620.5868
5.5698,620.6734
5.5777,619.5578
5.5855,619.6615
5.5933,620.2832
5.6011,620.3216
5.609,620.5265
5.6168,619.6477
5.6246,620.3791
5.6324,621.2982
5.6403,620.3856
5.6481,620.1997
5.6559,619.7315
5.6637,619.006
5.6715,620.5832
5.6794,620.9847
5.6872,621.5427
5.695,621.0151
5.7028,620.7545
5.7107,621.0317
5.7185,620.7841
5.7263,621.3681
5.7341,621.3315
5.742,620.9244
5.7498,622.9201
5.7576,622.6045
5.7654,622.2081
5.7732,621.7638
5.7811,619.737
5.7889,619.3208
5.7967,618.0495
5.8045,617.5016
5.8124,615.68
5.8202,616.2322
5.828,617.7195
5.8358,617.7022
5.8436,618.4208
5.8515,617.5574
5.8593,619.3681
5.8671,619.7256
5.8749,621.561
5.8828,621.0287
5.8906,621.9558
5.8984,622.8522
5.9062,623.6211
5.9141,622.118
5.9219,622.6
