ax,ay,az,gx,gy,gz
0.4829,9.7038,0.9455,0.0248,-0.0514,0.0058
0.4666,9.7159,0.9178,0.0155,-0.0515,0.0072
0.4486,9.7046,0.9041,0.0063,-0.0434,0.0053
0.4484,9.6996,0.9178,-0.003,-0.0435,0.0067
0.4306,9.6695,0.9571,-0.0045,-0.0531,0.0034
0.4067,9.6833,0.9706,-0.0092,-0.0643,0.0018
0.4073,9.7101,0.9986,-0.0073,-0.082,0.0066
0.3886,9.7316,1.0194,-0.0089,-0.0819,0.0033
0.402,9.743,1.0607,-0.0059,-0.0787,0.0051
0.3815,9.789,0.9851,-0.0288,-0.082,0.0044
0.3977,9.8822,0.9962,-0.0213,-0.0756,0.003
0.4037,9.8644,1.0151,0.0022,-0.0755,0.0035
0.398,9.8275,0.9085,-0.0014,-0.0755,0.0052
0.3933,9.849,0.9132,0.0048,-0.0707,0.007
0.3908,9.832,0.9338,0.0264,-0.0802,0.006
0.3709,9.8045,0.9547,0.0405,-0.0801,0.0013
0.3636,9.8162,0.9546,0.0342,-0.0738,0.0061
0.3627,9.8153,0.8883,0.0392,-0.0737,0.0044
0.3664,9.831,0.8466,0.042,-0.0545,0.0045
0.3874,9.8453,0.8468,0.0421,-0.0463,-0.0038
0.4073,9.8537,0.8465,0.0403,-0.0287,-0.0054
0.4164,9.8295,0.874,0.0448,-0.0383,-0.0052
0.4366,9.8335,0.8586,0.0454,-0.0479,-0.0054
0.4212,9.8273,0.8441,0.0342,-0.0655,-0.007
0.4056,9.8113,0.8511,0.039,-0.0815,-0.0069
0.3858,9.8078,0.8446,0.0424,-0.0831,-0.0053
0.3698,9.8177,0.8608,0.0486,-0.0814,-0.0101
0.3623,9.8245,0.8652,0.0515,-0.0606,-0.0067
0.3879,9.8123,0.909,0.056,-0.0397,-0.0116
0.4129,9.7996,0.8811,0.0512,-0.0347,-0.0215
0.4132,9.7784,0.842,0.0434,-0.0285,-0.0151
0.4202,9.7569,0.8189,0.0558,-0.035,-0.0083
0.418,9.7331,0.8257,0.0542,-0.0397,-0.0131
0.4107,9.7256,0.8439,0.0649,-0.0428,-0.0128
0.4016,9.7187,0.8577,0.0603,-0.0509,-0.0113
0.3747,9.7007,0.8763,0.0481,-0.0557,-0.0165
0.3494,9.6964,0.904,0.0403,-0.0398,-0.0118
0.3233,9.7175,0.9176,0.0355,-0.0335,-0.007
0.316,9.7148,0.9358,0.0245,-0.0319,-0.0072
0.3078,9.7232,0.9363,0.0402,-0.0254,-0.0087
0.3097,9.7227,0.9499,0.0339,-0.019,-0.0104
0.3352,9.7393,0.957,0.0278,-0.0192,-0.0025
0.3521,9.723,0.9388,0.0342,-0.0174,-0.0105
0.3279,9.7198,0.9222,0.0415,-0.0191,-0.0053
0.31,9.7326,0.9133,0.0402,-0.0175,-0.0022
0.2999,9.7462,0.9107,0.0415,-0.0192,-0.0004
0.2916,9.7831,0.9135,0.0449,-0.0144,0.0027
0.2886,9.8088,0.8835,0.0417,0.0032,0.001
0.3116,9.8299,0.8468,0.0555,0.0224,0.0062
0.3525,9.8336,0.8466,0.0585,0.024,0.0079
0.3753,9.833,0.8534,0.0537,0.0432,0.0078
0.3748,9.8228,0.8785,0.0474,0.0336,0.0045
0.3504,9.8242,0.8604,0.04,0.0145,-0.0007
0.3131,9.8363,0.8303,0.0416,0.0016,0.0011
0.2971,9.8318,0.8326,0.043,0.0112,0.006
0.2943,9.8314,0.8348,0.0475,0.0176,0.0078
0.289,9.8331,0.8437,0.0565,0.0385,0.0064
0.3011,9.8192,0.8301,0.0627,0.0481,0.0065
0.3119,9.7896,0.8305,0.0676,0.0593,0.008
0.3404,9.7446,0.826,0.0677,0.0593,0.0063
0.3467,9.72,0.7911,0.0689,0.0657,0.0081
0.3541,9.7203,0.7613,0.0691,0.0593,0.0081
0.3275,9.7146,0.7515,0.0641,0.0609,0.0081
0.3142,9.7273,0.7749,0.0657,0.0705,0.0064
